#Star   #RA            #DEC
TWA_1,   11 01 51.905,   -34 42 17.03
TWA_2,   11 09 13.798,   -30 01 39.88
TWA_3,   11 10 27.894,   -37 31 51.97
TWA_4,   11 22 05.288,   -24 46 39.74  
TWA_5,   11 31 55.260,   -34 36 27.25
TWA_6,   10 18 28.701,   -31 50 02.86
TWA_7,   10 42 30.100,   -33 40 16.28
TWA_8A,  11 32 41.263,   -26 51 55.99
TWA_8B,  11 32 41.172,   -26 52 09.13
TWA_9A,  11 48 24.229,   -37 28 49.11
TWA_9B,  11 48 23.732,   -37 28 48.50
TWA_10,  12 35 04.254,   -41 36 38.64
TWA_11A, 12 36 01.031,   -39 52 10.23
TWA_11B, 12 36 01.031,   -39 52 10.23
TWA_11C, 12 35 48.939,   -39 50 24.50
TWA_12,  11 21 05.484,   -38 45 16.51
TWA_13A, 11 21 17.219,   -34 46 45.47
TWA_13B, 11 21 17.446,   -34 46 49.83
TWA_14,  11 13 26.221,   -45 23 42.75
TWA_15A, 12 34 20.649,   -48 15 13.48
TWA_15B, 12 34 20.473,   -48 15 19.59
TWA_16,  12 34 56.303,   -45 38 07.63
TWA_17,  13 20 45.388,   -46 11 37.72
TWA_18,  13 21 37.225,   -44 21 51.84
TWA_19A, 11 47 24.545,   -49 53 03.01
TWA_19B, 11 47 20.642,   -49 53 04.31
TWA_20,  12 31 38.068,   -45 58 59.47
TWA_21,  10 13 14.774,   -52 30 53.95
TWA_22,  10 17 26.905,   -53 54 26.42
TWA_23,  12 07 27.377,   -32 47 00.25
TWA_24,  12 09 41.861,   -58 54 45.08
TWA_25,  12 15 30.723,   -39 48 42.59
TWA_26,  11 39 51.140,   -31 59 21.50
TWA_27,  12 07 33.467,   -39 32 54.00 
TWA_28,  11 02 09.833,   -34 30 35.53
TWA_29,  12 45 13.798,   -44 28 47.63
TWA_30A, 11 32 18.315,   -30 19 51.85
TWA_30B, 11 32 16.921,   -30 18 10.53
TWA_31,  12 07 16.547,   -32 30 22.36
TWA_32,  12 26 51.367,   -33 16 12.54
TWA_33,  11 39 33.846,   -30 40 00.34
TWA_34,  10 28 45.790,   -28 30 37.53 
