# star  ra[deg]           dec[deg]          
TWA_2   167.3074703637600 -30.0277691313200
TWA_3   167.616225300     -37.531101700     
TWA_4   170.52204061      -24.77771031      
TWA_5   172.9802537347000 -34.6075566367000 
TWA_6   154.6195781338800 -31.8341194590400 
TWA_7   160.6254245536500 -33.6711749458900 
TWA_8A  173.1719411770000 -26.8655449705000 
TWA_8B  173.1715555253200 -26.8691966016600 
TWA_9A  177.1009280862100 -37.4803095195900 
TWA_9B  177.0988950148000 -37.4801445596700 
TWA_10  188.7677334903700 -41.6107266696000 
TWA_11A 189.0042989423300 -39.8695056848300 
TWA_11B 189.0022880755200 -39.8710259885600 
TWA_11C 188.9539150378000 -39.8401575443800 
TWA_12  170.2728392371900 -38.7545896986500 
TWA_13A 170.3217472227600 -34.7793064587800 
TWA_13B 170.3226794193500 -34.7804932807500 
TWA_14  168.3592536169800 -45.3952002678300 
TWA_15A 188.5860339051899 -48.2537587089300 
TWA_15B 188.5853000333499 -48.2554293288100 
TWA_16  188.734594200     -45.635453700     
TWA_17  200.1891155277500 -46.1938087362700 
TWA_18  200.4050801323700 -44.3644060317300 
TWA_19A 176.8522659192700 -49.8841718012700 
TWA_19B 176.8358049666000 -49.8845379188500 
TWA_20  187.9086214902499 -45.9831827565800 
TWA_21 	153.3115519207200 -52.5150004176300 
TWA_22  154.3620532271000 -53.9073298402900 
TWA_23  181.8640683063800 -32.7834008121600 
TWA_24  182.4244120882300 -58.9125171194600 
TWA_25  183.8780013337700 -39.8118351900400 
TWA_26  174.9630743227900 -31.9892899055900 
TWA_27  181.8894481353499 -39.5483379514400 
TWA_28  165.5409911582600 -34.5098783886600 
TWA_29  191.3090032419000 -44.4854800731500 
TWA_30  173.0762982665400 -30.3310716029500 
TWA_30B 173.0759124079900 -30.3087898017900 
TWA_31  181.7953680311100 -32.5149321835400 
TWA_32  186.714027400     -33.270150900      
TWA_33  174.8909373071000 -30.6667682942500 
TWA_34  157.1908301706300 -28.5104238187100 
